id,created_at,user_name,user_location,full_text,user_followers_count,retweet_count,Candidat
1471812568905916421,Fri Dec 17 12:00:36 +0000 2021,Deazo,,"RT 2022avecHidalgo  Retour sur le passage dAnneHidalgo dans le Finistre

 Elle a chang avec les acteurs locaux sur les enjeux de",9,72,Anne Hidalgo
1471812534198018049,Fri Dec 17 12:00:27 +0000 2021,Phil B,,"RT ExcessMidnight Taubira je ne suis pas une candidature de plus pas faux puisque la mre Hidalgo va jeter lponge
Par contre quel p",60,1,Anne Hidalgo
1471811883946627077,Fri Dec 17 11:57:52 +0000 2021,rodolphe delcros,Prigueux France,"RT lemondefr  LIVE  Christiane Taubira  envisage dtre candidate   llection prsidentielle

Huit candidats sont dsormais dclar",51,69,Anne Hidalgo
1471813571361312772,Fri Dec 17 12:04:35 +0000 2021,Sebastian ,Dijon Frankreich,RT GuillaumeGrlt Il est temps que la gauche dbatte  AnneHidalgo en responsabilit propose un dbat tlvis  toute la gauche Il e,35,4,Anne Hidalgo
1471813044401545217,Fri Dec 17 12:02:29 +0000 2021,Alan Confesson,Grenoble,lys3814 LesBulles1 mathildentrl ChTaubira AnneHidalgo Sur lcologie dfendu sic par Hidalgo  Paris,2665,0,Anne Hidalgo
1471813122222702598,Fri Dec 17 12:02:47 +0000 2021,Youyou ,Paris,Je me foutais bien de la Droite et des Rpublicains avec leurs 1500 candidats  la primaire Mais forcer de constater quils ont russi  sorganiser et  priori choisir un candidat unique L  gauche il ya eu la primaire des colos avec Jaddot Hidalgo pour le PS 12,314,0,Anne Hidalgo
1471811308236546049,Fri Dec 17 11:55:35 +0000 2021,justicier matricule 252,Loiret Centre,RT lancelot964 Hidalgo plafonne Solution Taubira Si a ne prend pas ils vont mettre qui,9829,33,Anne Hidalgo
1471812983554772997,Fri Dec 17 12:02:14 +0000 2021,Lo Ran,France,Championne hidalgoparis AnneHidalgo  Paris dsigne deuxime ville la plus embouteille au monde  Le Point httpstcoPhdSzYd3RO via LePoint,37,0,Anne Hidalgo
1471812237916614657,Fri Dec 17 11:59:17 +0000 2021,Alex Hld ,Paris France,DoctHuxley deutschlaurent AnneHidalgo Il ny a rien de politique cest un constat de voir Paris aussi peu respect depuis des annes Si vous voyagez dans nimporte quelle grande ville dEurope vous vous rendez compte  quel point Paris nest pas entretenue,9,0,Anne Hidalgo
1471811926485315590,Fri Dec 17 11:58:02 +0000 2021,zeliberalbot,Cr par zefisch pour vous servir,RT chkaki twibap Ouais mais surtout ils veulent pas du social libralisme comme Taubira Hidalgo Jadot,3887,1,Anne Hidalgo
1471810948230959105,Fri Dec 17 11:54:09 +0000 2021,la Saki,,RT debosolau On va pas vous laisser prendre Taubira pour bouc missaire ce sera pas votre nouvelle Hidalgo je vous le dis,649,21,Anne Hidalgo
1471812533673676801,Fri Dec 17 12:00:27 +0000 2021,VRwatchingU,FranceInsoumise,RT LoudL Et si au lieu de proposer un nime blabla mdiatique,1756,2,Anne Hidalgo
1471813158998315011,Fri Dec 17 12:02:56 +0000 2021,Mark,,"La confrence de Hidalgo tout a lheure oy oy oy oy 
He beh la gauche est pas sortie des ronces httpstcoLy8gqgv3KB",55,0,Anne Hidalgo
1471812038733316097,Fri Dec 17 11:58:29 +0000 2021,Un Franais ,Gaillac France,RT gilbertenaud Quand AnneHidalgo veut nous faire croire quelle est de gauche alors quavec ses coreligionnaires allemands elle dfen,539,4,Anne Hidalgo
1471813997905289216,Fri Dec 17 12:06:16 +0000 2021,rossel,Paris,RT MontbrialAvocat Belle russite dHidalgo au bout de 7 ans de mandat       Paris est dsormais classe 2me ville la plus embout,839,557,Anne Hidalgo
1471813663082360839,Fri Dec 17 12:04:56 +0000 2021,Salom Roussel  ,Paris  Marrackech ,RT christopheconte Une question se pose tout de mme aprs la proposition de Hidalgo Quid de la suite du dbat  On vote par SMS et num,15713,1,Anne Hidalgo
1471812228898766850,Fri Dec 17 11:59:14 +0000 2021,MarcelloD VaccinDeuxDosesRappelPfizer,Rgion Parisienne,"renaudpila Hidalgo   2 points ds les sondages  venir
Taubira  des miettes 
Jadot  du sur place au mieux",447,0,Anne Hidalgo
1471810474996121601,Fri Dec 17 11:52:16 +0000 2021,Z,France,AlansLover ne de parents affilis  lextrme gauche chilienne terroriste MIR il ne faut pas en esprer grand chose  Cest un peu la version sud amricaine dhidalgo en plus extrme,76,0,Anne Hidalgo
1471813484589559816,Fri Dec 17 12:04:14 +0000 2021,Bodlilas,France,"RT deutschlaurent Vous nen aviez pas rvHidalgo la fait 
AnneHidalgo saccageparis ParisSousTutelle httpstco7qOrjX4t10",133,1479,Anne Hidalgo
1471811580111499266,Fri Dec 17 11:56:40 +0000 2021,Benoit Lautre,,RT pseudododo1 Aprs avoir tent Roussel Hidalgo et Montebourg les joueurs de marionnettes nous lancent Taubira  tout est bon pour es,423,35,Anne Hidalgo
1471813987432079367,Fri Dec 17 12:06:14 +0000 2021,Gre Desbois,,ChTaubira J crois c est Hidalgo qui commenait  vouloir runir mais elle ne disait pas que c tait pour espre qq chose de mieux vous au moins vous parlez plus de notre avenir d humain donc dites que vous aurez un gouvernement de tous les partis et j irais voter finalement,4,0,Anne Hidalgo
1471813864870363143,Fri Dec 17 12:05:45 +0000 2021,Lionel Povert ,PARISAUBERVILLIERS,"RT lemondefr  LIVE  Christiane Taubira  envisage dtre candidate   llection prsidentielle

Huit candidats sont dsormais dclar",1463,69,Anne Hidalgo
1471813719600603142,Fri Dec 17 12:05:10 +0000 2021,PEG,Paris,RT jpsnukal pegobry Elle est peuttre jalouse du succs dAnne Hidalgo ,37306,1,Anne Hidalgo
1471812975413637126,Fri Dec 17 12:02:12 +0000 2021,louim77,Seine et Marne France,lilianalemagna ProfToujours Le dbat nest possible que sil y a corpus commun Et quoi de commun entre Mlenchon et Jadot  Rien Cette ide de primaire est un leurre juste fait pour sortir Hidalgo de lornire Se souvenir quelle na mme pas voulu de primaire au sein du PS ,1390,0,Anne Hidalgo
1471812249014747140,Fri Dec 17 11:59:19 +0000 2021,Gizmhail SbastieN Poivre,France,"RT Politisfr Edito La gauche et la question de lunit

La panique semble stre empare dAnne Hidalgo Son problme est moins la divi",252,4,Anne Hidalgo
1471810863057227783,Fri Dec 17 11:53:49 +0000 2021,sachux,Thionville France,"RT lemondefr  LIVE  Christiane Taubira  envisage dtre candidate   llection prsidentielle

Huit candidats sont dsormais dclar",156,69,Anne Hidalgo
1471812024355147783,Fri Dec 17 11:58:26 +0000 2021,RC4,Paris,RT pseudododo1 Aprs avoir tent Roussel Hidalgo et Montebourg les joueurs de marionnettes nous lancent Taubira  tout est bon pour es,513,35,Anne Hidalgo
1471810906547961858,Fri Dec 17 11:53:59 +0000 2021, Sandra ,Mulhouse France,lamiaela AnneHidalgo Votre tentative est pitoyable AH est nulle,826,0,Anne Hidalgo
1471813305538953224,Fri Dec 17 12:03:31 +0000 2021,,,"RT lemondefr  LIVE  Christiane Taubira  envisage dtre candidate   llection prsidentielle

Huit candidats sont dsormais dclar",691,69,Anne Hidalgo
1471811420241244164,Fri Dec 17 11:56:02 +0000 2021,JeanLabadie,,RT fandoetlis On manque vraiment de candidats  gauche           DIRECT Christiane Taubira envisage dtre candidate  llection prs,7588,1,Anne Hidalgo
1471805712170893314,Fri Dec 17 11:33:21 +0000 2021,rossel,Paris,"Il ne sagit pas de projets pour la France il sagit doccuper lespace mdiatique
Hors la simple com Hidalgo et ses marmousets nexistent plus httpstco5e3UMK44BO",839,0,Anne Hidalgo
1471813055143190530,Fri Dec 17 12:02:31 +0000 2021,,,"RT lemondefr  LIVE  Christiane Taubira  envisage dtre candidate   llection prsidentielle

Huit candidats sont dsormais dclar",144,69,Anne Hidalgo
1471811718598823943,Fri Dec 17 11:57:13 +0000 2021,Vie a Paris,Paris,RT CapAdrien ANgatcha9 AnneHidalgo Des discours toujours creux remplis de poncifs et de bonne intention mais jamais aucune piste sur,98,2,Anne Hidalgo
1471812169893359619,Fri Dec 17 11:59:00 +0000 2021,Mr DZ,IledeFrance France,RT NicolasPelleFI Bon on fait le compte comme dirait Madame Taubira,364,19,Anne Hidalgo
