id,created_at,user_name,user_location,full_text,user_followers_count,retweet_count,Candidat
1471809621321043969,Fri Dec 17 11:48:53 +0000 2021,Pour les intimes,,JSLPC Entre Hidalgo Montebourg Mlenchon et Poutou qui vont se diviser les votes et ne renonceront jamais lexplosion est presque dj acte,486,0,Arnaud Montebourg
1471800923018125314,Fri Dec 17 11:14:19 +0000 2021,Joseph Garnier ,,"En 2002 Taubira avait un programme conomique libral et voulait une 6me Rpublique avec un rgime prsidentiel encore plus fort
On a dj Montebourg et Hidalgo pour a donc non merci httpstcoGQJCUNIu5H",1132,2,Arnaud Montebourg
1471639106438549504,Fri Dec 17 00:31:19 +0000 2021,MilkCheaKRFL,France,"Pete4417 Imagineuse Sam197880298732 Adamfatigue2 Mlenchon  Quelle blague
Jadot  Hypocrite notoire et incohrent
Montebourg   
Artaud  ",14,0,Arnaud Montebourg
1471802610378231810,Fri Dec 17 11:21:01 +0000 2021,An Princesse des les,L o le vent memporte,guantanamourya Il faudrait quelle mette hidalgo montebourg et jadot de son ct,215,0,Arnaud Montebourg
1471773035938123780,Fri Dec 17 09:23:30 +0000 2021,Pedro66606,Nice France,RenaudTarlet Ils sont fort au ps pour foutre la merde AnneHidalgo montebourg ne suffisaient pas pour emmerder JLMelenchon maintenant ils ajoutent ChTaubira pour assurer la victoire de Jupiter,158,0,Arnaud Montebourg
1471805192672882693,Fri Dec 17 11:31:17 +0000 2021,gentiane,,RT pseudododo1 Aprs avoir tent Roussel Hidalgo et Montebourg les joueurs de marionnettes nous lancent Taubira  tout est bon pour es,487,27,Arnaud Montebourg
1471770896000065546,Fri Dec 17 09:15:00 +0000 2021,Alain Lambert,Bretagne France,RT PrimairePop Ce soir AnneHidalgo et montebourg appellent au rassemblement Une partie des candidatures entend la volont de 70 de l,132,319,Arnaud Montebourg
1471722793549115392,Fri Dec 17 06:03:51 +0000 2021,Moud  ,Agadir,RT mdiplo Pour entendre Arnaud Montebourg dnoncer la tlvision des ides qui dtruisent la France cest par ici httpstcoWgG,4815,31,Arnaud Montebourg
1471808872260288513,Fri Dec 17 11:45:54 +0000 2021, Matricule 2434,France den bas,RT NicolasPelleFI Bon on fait le compte comme dirait Madame Taubira,580,16,Arnaud Montebourg
1471781940202192902,Fri Dec 17 09:58:53 +0000 2021,ROBERT BONNECAZE,,"Florian Potin
JEANLUC MLENCHON candidat de gauche favoris 
de lensemble des franais avec 21 mais aussi des sympathisants de gauche avec 47 devant Taubira Hidalgo Jadot Montebourg et Roussel 
Thomas Wachy  
 Melenchon2022
UnionPopulaire 
AvenirEnCommun httpstco96ktzRJTHO",14,0,Arnaud Montebourg
1471768898794098691,Fri Dec 17 09:07:04 +0000 2021,Descamps Amish ,parfois 3 sur ce compte,pauldenton a peut au contraire claircir la situation Elle saura faire place auprs des boulets Roussel Montebourg et Hidalgo voire Jadot,289,0,Arnaud Montebourg
1471803936373981185,Fri Dec 17 11:26:17 +0000 2021,Julien44200,LoireAtlantique Pays de la L,Vous avez mon soutien  Messieurs dame yjadot JLMelenchon AnneHidalgo FabienRoussel montebourg  vous de jouer Montreznous que vous avez lintrt gnral le bien commun plus  cur que votre propre ego  httpstco49ShkxxRUn,123,0,Arnaud Montebourg
1471627244284133378,Thu Dec 16 23:44:11 +0000 2021,NeoBrecht,Paris France,VirgileJambon Montebourg pas drle ,1332,0,Arnaud Montebourg
1471807170715033604,Fri Dec 17 11:39:09 +0000 2021,corannavirus,morcadd,RT FSucculent jte jure ptdrrr a se voit Yannick il est fatigu il vient de mettre son tel en mode avion pour que Montebourg arrte de l,1080,2,Arnaud Montebourg
1471779120413618176,Fri Dec 17 09:47:41 +0000 2021,alex lanticyclone JLM2022 AEC ,sur un banc avec Godot,RT manni477 Bonjour il est 9h13 Vous commencez votre journe dans un pays o chaque citoyen peut sattendre  recevoir un appel de Mont,1545,15,Arnaud Montebourg
1471808213305729030,Fri Dec 17 11:43:17 +0000 2021,marie vermeil,,"RT pinonjeanpierre Primaire impopulaire du sauvetage du Hollandisme au mois de janvier 2022
3 candidats en lice TaubiraHidalgo Monteb",107,1,Arnaud Montebourg
1471790264998105088,Fri Dec 17 10:31:58 +0000 2021,Kiffeur Sutherland,ClermontFdVulcanie France,On attend logiquement la vido de Montebourg en train dappeler son rpondeur httpstcojhNYKOPACv,1153,0,Arnaud Montebourg
1471650138271764481,Fri Dec 17 01:15:09 +0000 2021,Tanneguy Adriencense,Lille France,rouliane62 MatMolard DeputeeObono Aurelientache MaskymMace daphnedsch RobinDAngelo jeanYvesCamus1 marakante AnasseKazib TBouhafs ArnaultRaphael On a vu o vos ides vous ont menes Hidalgo 4  Melenchon 9 Montebourg 2  Jadot 8  Roussel 3 Poutou 1 Arthaud 1 ,65,0,Arnaud Montebourg
