id,created_at,user_name,user_location,full_text,user_followers_count,retweet_count,Candidat
1471636662795083779,Fri Dec 17 00:21:36 +0000 2021,Bathias Eric,,"RT maxencebrqt Zemmour est en train de distribuer les mandales politiques chez Hanouna 

FaceABaba httpstcoDx3FbW3mHn",87,109,Eric Zemmour
1471636655199162369,Fri Dec 17 00:21:34 +0000 2021,Pierre Moderet ,Francie,RT ZemmourProfs Zemmour les a tous mis K O Zemmour2022 FaceABaba,872,13,Eric Zemmour
1471636532104769536,Fri Dec 17 00:21:05 +0000 2021,animale,dpartement de la Somme,RT courantla Corbire HUMILI par Stanislas et Zemmour magnifique ,134,206,Eric Zemmour
1471636448768057352,Fri Dec 17 00:20:45 +0000 2021,MarieGalante ,,RT sbovodaa En 2022 faites le bon choix  Quelle France voulez vous  Celle de Macron ou celle de Zemmour  Zemmour2022  httpstco,1311,503,Eric Zemmour
1471637225007898627,Fri Dec 17 00:23:50 +0000 2021,MarieGalante ,,RT MichelLarive De Macron  Zemmour en passant par Pcresse cest la course  celui qui supprimera le  de fonctionnaires privatisera,1311,176,Eric Zemmour
1471636858077646850,Fri Dec 17 00:22:23 +0000 2021,Alacta,Vilcabamba,RT ZemmourTV Ceux qui tournent le dos  Christine Kelly pour avoir travaill avec moi sont des imbciles et ceux qui la menacent sont,540,11,Eric Zemmour
1471636495555510272,Fri Dec 17 00:20:56 +0000 2021,Fab,France,RT GaucheMafia  Ce soir Staline aurait t fier du communiste alexiscorbiere dans FaceaBaba  Il a excellemment appliqu la consigne,2696,42,Eric Zemmour
1471636688199991301,Fri Dec 17 00:21:42 +0000 2021,Bathias Eric,,RT Mathi1Mathieu ric Zemmour me fascine de plus en plus Il est incroyable Du haut de mes 26 ans je serais fier de voter pour lui et je,87,80,Eric Zemmour
1471636753899474950,Fri Dec 17 00:21:58 +0000 2021,Arnaud ,,RT ThoniaZ Merci ric Zemmour de dfendre la jeunesse Franaise  Vous avez particip  notre veil politique sil vous plait sauvez not,1,32,Eric Zemmour
1471637081495674883,Fri Dec 17 00:23:16 +0000 2021,patrice m,Yvelines IledeFrance,RT maitrerenard31 Zemmour  Vous admirez Robespierre,1000,950,Eric Zemmour
1471636268064849926,Fri Dec 17 00:20:02 +0000 2021,Lucas,Antibes France,RT topazimax ZemmourEric Merci  Corbire et  Caron davoir dmontr pourquoi il faut absolument voter pour Zemmour   Rien dautre,815,3,Eric Zemmour
1471636657782902791,Fri Dec 17 00:21:35 +0000 2021,Indiana Jones,,antigonefrance Mr zemmour quesprez vous faire passer comme message chez les FANZOUZES Trs srieusement Vous ne voyez pas quon se sert juste des invits pour le BUZZ et faire monter la sauce Je mtonne toujours de lIMPORTANCE quon donne  cette foire aux singes httpstcox5mmeGq3kE,233,0,Eric Zemmour
1471636403947724802,Fri Dec 17 00:20:35 +0000 2021,Ma France,,RT E2Villiers Aymeric Caron clownesque explose face  Zemmour,550,512,Eric Zemmour
1471637013954707458,Fri Dec 17 00:23:00 +0000 2021, Ioannes  Z ,DomrmylaPucelle,RT stanislasrig  Ce nest pas moi qui mets la France  feu et  sang elle lest dj Je vous parlerai simplement de la dlinquance ord,358,342,Eric Zemmour
