id,created_at,user_name,user_location,full_text,user_followers_count,retweet_count,Candidat
1471783008843800577,Fri Dec 17 10:03:08 +0000 2021,Debeauche,,"RT PierrickLVN Un JT de 20h une augmentation dans les sondages 

Fabien Roussel est le seul candidat de gauche en dynamique 

En avant",355,17,Fabien Roussel
1471771498360848384,Fri Dec 17 09:17:24 +0000 2021,Chat40,Belgium ,RT lookatluc9 BGomes75 FabienRoussel  mais dsol sans union des forces colos et sociales pas de transformation dessai Dailleurs,8326,1,Fabien Roussel
1471761125893152770,Fri Dec 17 08:36:11 +0000 2021,Jean Luc Laurent,,RT PirrottinaM Dcouvrez mon dernier article Fabien Roussel vient mettre en dbat un grand projet prsidentiel sur lIle de La Runion,190,2,Fabien Roussel
1471775553623629827,Fri Dec 17 09:33:30 +0000 2021,JeanPascal GAYANT,,"Le lien pour linterview de Roussel et Juanico dans SoFoot
httpstconkcPpT8tyn",281,0,Fabien Roussel
1471653179578327043,Fri Dec 17 01:27:14 +0000 2021,NstalGeek JLM2022 cl3,Genve Suisse,RT AubBoq ManonCantin49 Ce qui est positif cest que Macron Pcresse Jadot Roussel PS nauront pas les voix de  6 000 000 de non va,2763,4,Fabien Roussel
1471779071390584832,Fri Dec 17 09:47:29 +0000 2021,T Yler Durden,,RT MaydayMaze Coucou FabienRoussel  On en est o de linvitation de JLMelenchon  faire un rfrendum sur le sujet ,427,1,Fabien Roussel
1471768337998823427,Fri Dec 17 09:04:50 +0000 2021,BRICE JAVALOYES ,Frjus,"RT PierrickLVN Un JT de 20h une augmentation dans les sondages 

Fabien Roussel est le seul candidat de gauche en dynamique 

En avant",325,17,Fabien Roussel
1471720234042245123,Fri Dec 17 05:53:41 +0000 2021,Jean Valjean,Genve Suisse,phink0 PVhistoire alexisroussel GregoireBarbey NordmannRoger Reprendre des citations dautres personnes ne fait pas de toi une lite intellectuelle,90,0,Fabien Roussel
1471781940202192902,Fri Dec 17 09:58:53 +0000 2021,ROBERT BONNECAZE,,"Florian Potin
JEANLUC MLENCHON candidat de gauche favoris 
de lensemble des franais avec 21 mais aussi des sympathisants de gauche avec 47 devant Taubira Hidalgo Jadot Montebourg et Roussel 
Thomas Wachy  
 Melenchon2022
UnionPopulaire 
AvenirEnCommun httpstco96ktzRJTHO",14,0,Fabien Roussel
1471760982905180160,Fri Dec 17 08:35:36 +0000 2021,Sandrine  Allgatire,ain,GandalfMystere FabienRoussel Reporterre La ralit,3170,0,Fabien Roussel
1471768898794098691,Fri Dec 17 09:07:04 +0000 2021,Descamps Amish ,parfois 3 sur ce compte,pauldenton a peut au contraire claircir la situation Elle saura faire place auprs des boulets Roussel Montebourg et Hidalgo voire Jadot,289,0,Fabien Roussel
1471615700645068801,Thu Dec 16 22:58:18 +0000 2021,Julien R  ,,"JlBennahmias NaomiHalll SudRadio valerieexpert ATaquillain AlexDarmon LDHFr LdhMarseille placepublique PlacePublique13 PrimairePop libe Euhoui parfaitement  poque post68arde dgnre o une trop grande partie de lintelligentsia dfendait explicitement cette horreur au nom de la libert sexuelle Donc je pose la question  avezvous oui ou non soutenu Grard Roussel et ses pratiques abjectes 
jcrabiller",78,0,Fabien Roussel
1471700332086534145,Fri Dec 17 04:34:36 +0000 2021,andre giron,france,RT FredSergent On est bien daccord que Macron a fait une plus faible audience sur TF1 que FabienRoussel sur France 2 la veille On es,1164,6,Fabien Roussel
1471690233435795458,Fri Dec 17 03:54:28 +0000 2021,,,RT AsiaNewsFR Franois Roussel lu des Franais au Japon ,1284,4,Fabien Roussel
1471748379680157697,Fri Dec 17 07:45:32 +0000 2021,PCF Orvault,Orvault,RT victodurieux Ian Brossat seul responsable politique sur le plateau  vouloir mettre en oeuvre laugmentation des salaires avec Fabien,337,2,Fabien Roussel
