id,created_at,user_name,user_location,full_text,user_followers_count,retweet_count,Candidat
1471832824319815690,Fri Dec 17 13:21:05 +0000 2021,Belcize,,"RT fabiensemat LUPR et UPRAsselineau sont classs en Divers  au dessus du clivage droitegauche
SOURCES  httpstcow3trcf6712",42,1,François Asselineau
1471830780385112067,Fri Dec 17 13:12:57 +0000 2021,BRG ,,idrissaberkane Franois Asselineau ne gagnera jamais Il a le profil dun technocrate Il nest pas le profil dun chef charismatique qui peut rassembler De plus il faut tre honnte Il refuse de dfiler avec fphilippot il supporte pas lunion Pourtant il faut sunir ,538,0,François Asselineau
1471825991752314880,Fri Dec 17 12:53:56 +0000 2021,Marc Assin,France,RT nicolasputsch Vido Franois Asselineau Pfizer est une entreprise de type mafieux  sur LigneDroite httpstcouN53cVcrCW U,146,37,François Asselineau
1471831402123608065,Fri Dec 17 13:15:26 +0000 2021,den ladesh ,,"JMDemaison nicolasputsch LigneDroite UPRAsselineau radiocourtoisie Vous prenez quoi comme drogue 

Jen veux vraiment a a lair vraiment fort",73,0,François Asselineau
1471825865784938503,Fri Dec 17 12:53:26 +0000 2021,Dimi,,BruceNotusa UPRAsselineau Tu sors une vido qui parle des candidats de 2017 Philippot ntait pas candidat et  ce moment l Marine le pen proposait un rfrendum pour sortir de lUE Il a quitt ce parti quand Marine a abandonn la sortie de lUE Cesse de raconter des neries,19,0,François Asselineau
1471827472052334597,Fri Dec 17 12:59:49 +0000 2021,BARBAROUX pierrette,,"RT AlexSamTG Bravo Drmartyufml  propos de Philippot Asselineau Rinfocovid 

Ces gens sont des criminels et ils doivent tre arr",59,60,François Asselineau
1471832804023586820,Fri Dec 17 13:21:00 +0000 2021,Dimi,,BruceNotusa UPRAsselineau Tu verras quil fera plus que ton saint Franois aux prsidentielles Dj quil na pas os aller aux urnes durant les rgionales tellement il sentait venir lchec cuisant Philippot lui y va mme pour perdre Cest a la Politique,19,0,François Asselineau
1471830401987624961,Fri Dec 17 13:11:27 +0000 2021,A A,,MaxCash22 UPRAsselineau Ceux qui parlent dune autre europe matin midi et soir et qui tout dun coup proposent le Frexit ne sont pas digne de confianceIls font semblant de proposer le Frexit Vous avez juste raison sur le fait que cest lescro Barnaba qui a voulu faire alliance avec lescro Philippot,154,0,François Asselineau
1471832900253491201,Fri Dec 17 13:21:23 +0000 2021,Leguern,,RT Steffie43214043 INVIT RTL  Coronavirus  un mdecin pointe les lourdes responsabilits de Philippot et Asselineau httpstcofkU,243,163,François Asselineau
1471830066900484099,Fri Dec 17 13:10:07 +0000 2021,DUCRET Antoine StopGiletsJaunes,Lunville France,isabelledenuit DeBunKerEtoiles UPRAsselineau Twitter Cest que vous nutilisez jamais les mots cl dtects par Twitter Comme moi vous utilisez sans doute plus lhumour que linvective et la violence des mots,1623,0,François Asselineau
1471832071379333127,Fri Dec 17 13:18:05 +0000 2021,A A,,MaxCash22 UPRAsselineau Philipot a menti effrontment pendant des annes  la TV en parlant dessayer de rengocier les traits Le rfrendum de Marine ctait du Pipo do les mensonges du FN sur les rengociations auquel Philippot A PARTICIP Je ne peux pas accorder ma confiance  un menteur,154,0,François Asselineau
