id,created_at,user_name,user_location,full_text,user_followers_count,retweet_count,Candidat
1471817014423568388,Fri Dec 17 12:18:15 +0000 2021,Cyril Rolland,cabestany,RT ZohraBitan Le premier fournisseur officiel de Franais chez Zemmour et Marine le Pen cest la France Insoumise  Jespre quils ne d,244,52,Le pen
1471816987676483595,Fri Dec 17 12:18:09 +0000 2021,Eurasienne,IDF France,"RT avecmarine Ben Issa Ousseni Prsident du conseil dpartemental de Mayotte 

 Marine Le Pen est une dame qui connat les difficult",1750,50,Le pen
1471816967963168779,Fri Dec 17 12:18:04 +0000 2021,SEELRobert1966,Verviers Belgique,"RT RouenPennelleRN Marine Le Pen ne passe pas son temps sur les plateaux Tv de la bien pensance parisienne 
Au contact dans des lieux d",189,16,Le pen
1471817043779502088,Fri Dec 17 12:18:22 +0000 2021,j21unis ,France,"RT avecmarine Ben Issa Ousseni Prsident du conseil dpartemental de Mayotte 

 Marine Le Pen est une dame qui connat les difficult",8391,50,Le pen
1471816815852634114,Fri Dec 17 12:17:28 +0000 2021,Sabine ChoyeCommeJamais,Nord,RT IanBrossat Depuis quand le courage a consiste  exiger de louvrier quil travaille plus longtemps pour gagner la mme retraite de m,1108,192,Le pen
1471816520208732166,Fri Dec 17 12:16:18 +0000 2021,CyrDbn Z Reconqute,Montpellier LA Moscou Kiev,RT imeldajaoui Bon en fait ZemmourEric a vraiment un programme conomique et il est trs bon On doit trouver un autre angle dattaque d,672,485,Le pen
1471816504417083392,Fri Dec 17 12:16:14 +0000 2021, S Fasquelle ,France,RT clementmci Lancement de la campagne de Marine Le Pen le samedi 15 janvier 2022  Reims au Parc des expositions Pas de Pass Sanitaire,867,56,Le pen
1471816774085709826,Fri Dec 17 12:17:18 +0000 2021,mazenod chantal,,"RT mayottela1ere MarineMayotte  Marine Le Pen en visite de 3 jours  Mayotte   Laccueil a t chaleureux  Mamoudzou
MLPofficiel",595,28,Le pen
1471816462834753542,Fri Dec 17 12:16:04 +0000 2021,ejmario,Occitanie,RT avecmarine  Si Les Rpublicains ne maccordent pas mes 500 signatures,542,220,Le pen
1471816576378843139,Fri Dec 17 12:16:31 +0000 2021, ,in the middle of Nowhere   ,RT RenaudTarlet Ces policiers racistes violents et ripoux ne seront pas sanctionns Vous tes au Macronistan pays des voyous dEtat M,710,13,Le pen
1471816835561631750,Fri Dec 17 12:17:33 +0000 2021,Rene Thomadis,Brest ,RT BFMTV Pour Jordan Bardella JBardella ric Zemmour a avou que,2039,39,Le pen
1471816697577361418,Fri Dec 17 12:17:00 +0000 2021,Eric Vander Steen,Belgique,"RT MartineMargott1 Questce que cest que ce cirque pour la prsidentielle
 gauche il va y avoir plus de candidats que dlecteurs
",3794,19,Le pen
1471816485022674947,Fri Dec 17 12:16:09 +0000 2021,Laurent Gasnier,,"RT malouinolivier Zemmour a enfin dvoile son objectif  Empcher Marine Le Pen dtre au second tour et Casser le camp national 
Il s",497,8,Le pen
1471816350926614529,Fri Dec 17 12:15:37 +0000 2021,Staluego,Paris,"RT sandrafellous Les marcheurs  Bon en fait ZemmourEric a vraiment un programme conomique et il est trs bon  

Il espre L",2287,132,Le pen
1471816735900811264,Fri Dec 17 12:17:09 +0000 2021,Branaa,,RT humauaka Ciotti le boulet de Pecresse Rousseau le boulet de Jadot EELV le boulet dHidalgo Zemmour et Le Pen eux mmes des boulets,166,28,Le pen
1471816452399378433,Fri Dec 17 12:16:01 +0000 2021,Jte vois,,Jacques Attali dresse un parallle entre les trajectoires de Franois Mitterrand et de Marine Le Pen httpstcoWuiwHRFTuL,2137,0,Le pen
1471816441888489473,Fri Dec 17 12:15:59 +0000 2021,Jardinesque FBPE  EU citizen ,BasRhin Alsace,"RT MartineMargott1 Questce que cest que ce cirque pour la prsidentielle
 gauche il va y avoir plus de candidats que dlecteurs
",185,19,Le pen
1471816610344280072,Fri Dec 17 12:16:39 +0000 2021,Sylvie 02,VillersCotterts France,"RT anouchkacohen Z prfre Pecresse  Marine Le Pen
Nimporte qui dautre
On le savait mais la cest clair Son but nest pas de gagne",2786,25,Le pen
1471820255689388034,Fri Dec 17 12:31:08 +0000 2021,Francky rafale,Loiret Centre,"RT mayottela1ere MarineMayotte  Marine Le Pen en visite de 3 jours  Mayotte   Laccueil a t chaleureux  Mamoudzou
MLPofficiel",3249,28,Le pen
1471819907318833156,Fri Dec 17 12:29:45 +0000 2021,Matre Carlsberg,France,RT Qofficiel Canap2002  En avril 2002 personne ne sattend  ce que JeanMarie Le Pen se retrouve au second tour de la prsidentielle,1114,48,Le pen
1471819701244280835,Fri Dec 17 12:28:56 +0000 2021,Kreisau,France,RT Livrenoirmedia  DIRECT  Candidature Christiane Taubira ChTaubira  Marine Le Pen MLPofficiel ragit Elle est la figure du r,2658,28,Le pen
1471819955977039876,Fri Dec 17 12:29:57 +0000 2021,Ervin Royston ,Groenland,RT avecmarine  URGENT  Le compte TikTok de Marine Le Pen vient de franchir la barre des 300k abonns httpstcoRlL1xLyU73,791,13,Le pen
1471819056726650886,Fri Dec 17 12:26:22 +0000 2021,LittleYellow Seed,,"RT UPRAsselineau POLITICAILLERIE
Pour ma partje nimagine pas quun membre de mon quipe de campagne soit membre de LR 
 Cette infor",746,76,Le pen
1471819257726087171,Fri Dec 17 12:27:10 +0000 2021,Livre Noir,France, DIRECT  Candidature Christiane Taubira ChTaubira  Marine Le Pen MLPofficiel ragit Elle est la figure du racialisme,50553,28,Le pen
1471817683742216196,Fri Dec 17 12:20:55 +0000 2021,Franois Gemenne,Paris France,PetwitHom PrimairePop Ben ils vont voter Macron par peur dun second tour Pcresse  Le Pen,29069,0,Le pen
1471820029003976710,Fri Dec 17 12:30:14 +0000 2021,Daniel pilotte de la Barolliere,Marseille France ALLEZ LOM ,"RT Valeurs  Les syndicats franais reprochent  Solidarnosc sa proximit avec Le Pen et Zemmour 
httpstcojc3gsFhhQj",22039,69,Le pen
1471819928445485056,Fri Dec 17 12:29:50 +0000 2021,pablito,Gard LanguedocRoussillon,"RT sandrafellous Les marcheurs  Bon en fait ZemmourEric a vraiment un programme conomique et il est trs bon  

Il espre L",8,132,Le pen
1471818611727781890,Fri Dec 17 12:24:36 +0000 2021,Eric Marie ,Strasbourg France,"RT UPRAsselineau POLITICAILLERIE
Pour ma partje nimagine pas quun membre de mon quipe de campagne soit membre de LR 
 Cette infor",510,76,Le pen
1471820036868296707,Fri Dec 17 12:30:16 +0000 2021,Bernard Jean,,RT Livrenoirmedia  DIRECT  Candidature Christiane Taubira ChTaubira  Marine Le Pen MLPofficiel ragit Elle est la figure du r,40,28,Le pen
1471820378557276164,Fri Dec 17 12:31:38 +0000 2021,uldo12,Scotland,RT Livrenoirmedia  DIRECT  Candidature Christiane Taubira ChTaubira  Marine Le Pen MLPofficiel ragit Elle est la figure du r,145,28,Le pen
1471820398606049288,Fri Dec 17 12:31:42 +0000 2021,Olivier Blanckart,,"20 ans aprs
En 2002 ChTaubira divisait au profit de Le Pen une gauche qui pouvait gagner
En 2022 mamie envisage datomiser toujours plus une gauche qui ne peut que perdre
Ya dla logique httpstcoXxE2d1dipY",642,0,Le pen
