id,created_at,user_name,user_location,full_text,user_followers_count,retweet_count,Candidat
1471796654349168640,Fri Dec 17 10:57:21 +0000 2021,Hurricane,SaintQuentin France,"RT CaptainArmorica A 5 mois tu te lances comme a cest pas srieux
Si jamais il y a une union sur la base dun programme commun je vais",1585,1,Yannick Jadot
1471747321532669955,Fri Dec 17 07:41:19 +0000 2021,Florthense,,"RT ThierryMillet75 17 dcembre J55 avant la rencontre de liceberg

Le PS envisage trs trs srieusement un changement de capitaine",449,2,Yannick Jadot
1471756910311399426,Fri Dec 17 08:19:25 +0000 2021,Lille avec Jadot,Lille,RT JeremyWilliez  Lille les messages de yjadot se font entendre durant cette VagueVerte  Lcologie pout agir cest maintenant  L,17,16,Yannick Jadot
1471791514015653890,Fri Dec 17 10:36:56 +0000 2021,Lucas D,France,PierreLepel Le risque de lextrme droite nest l que quand Taubira se prsente et pas quand Jadot refuse lunion ,539,0,Yannick Jadot
1471770808850829313,Fri Dec 17 09:14:39 +0000 2021,Gnrations Paris 10e ,Paris France,sirineshil charlottavelo eelv10 AmarMekdad yjadot Jeunesetjadot AvecYannick 75generations Yjadot2022Paris EELVParis EcoloJFr Hello  dans notre adn nous avons bien la maison commun de la gauche et des colos  on y travaille mme si ce pas simple Nous sommes dans le ple cologiste et soutenons Yannick Jadot candidat du Ple colo Ns soutenons aussi en grande majorit interne la primaire populaire,1895,0,Yannick Jadot
1471791549574963208,Fri Dec 17 10:37:04 +0000 2021,Anthony,paris,Taubira crdite de 2 dans un rcent sondage  demande donc  Mlenchon 10 Jadot8 et Hidalgo4 de la rejoindre et de se retirer  hallucinant,500,0,Yannick Jadot
1471789889473720321,Fri Dec 17 10:30:28 +0000 2021,CAF fan account,Lille France,jadot et mlenchon vont tout bloquer httpstcoZVxfmNwDfa,660,0,Yannick Jadot
1471765923023491073,Fri Dec 17 08:55:14 +0000 2021,Pierre MinnaertGuinedor,,"Article de MarianneleMag sur le drapage thique de JADOTyannick prnant la commercialisation du corps de la femme en cherchant  lgitimer les mres porteuses

GPA

httpstcoxIKJeXmwgk",2558,1,Yannick Jadot
1471785993917374467,Fri Dec 17 10:15:00 +0000 2021,PcAndLove,,RT JeremyWilliez  Lille les messages de yjadot se font entendre durant cette VagueVerte  Lcologie pout agir cest maintenant  L,301,16,Yannick Jadot
1471797413287505924,Fri Dec 17 11:00:22 +0000 2021,DjuDju13,,Regardsfr Inutile dattendre jusque mi janvier  elle peu dores et dj laisser tomber son ide Face aux melons aussi dmesurs que pitoyables de Melenchon Jadot et consort elle na aucune chance de rassembler quiconque,303,0,Yannick Jadot
1471768898794098691,Fri Dec 17 09:07:04 +0000 2021,Descamps Amish ,parfois 3 sur ce compte,pauldenton a peut au contraire claircir la situation Elle saura faire place auprs des boulets Roussel Montebourg et Hidalgo voire Jadot,289,0,Yannick Jadot
1471762946523119620,Fri Dec 17 08:43:25 +0000 2021,Hardi petit,DammarieLslys,RT libe Christiane Taubira espre par certains comme la rassembleuse de la gauche pourrait prciser ses intentions en vue de la prsid,246,16,Yannick Jadot
1471781940202192902,Fri Dec 17 09:58:53 +0000 2021,ROBERT BONNECAZE,,"Florian Potin
JEANLUC MLENCHON candidat de gauche favoris 
de lensemble des franais avec 21 mais aussi des sympathisants de gauche avec 47 devant Taubira Hidalgo Jadot Montebourg et Roussel 
Thomas Wachy  
 Melenchon2022
UnionPopulaire 
AvenirEnCommun httpstco96ktzRJTHO",14,0,Yannick Jadot
