id,created_at,user_name,user_location,full_text,user_followers_count,retweet_count,Candidat,sentiment
1471799440591699973,Fri Dec 17 11:08:26 +0000 2021,chlo qui glisse,BernessurOise France,"RT JoshuaHabib4 Mlenchon doit tre haut dans les sondages pour sortir les complices du PS de la naphtaline 
Quand estce que Taubira pr",120,16,Jean-luc M̩lenchon,0.28
1471801060910157830,Fri Dec 17 11:14:52 +0000 2021,ouang jocelyne,france,RT VANPRAETAlain Oui Mlenchon a des dfauts mais il a surtout des qualits  son indniable talent personnel et son exprience ses qu,4613,41,Jean-luc M̩lenchon,0.12
1471801575463084032,Fri Dec 17 11:16:54 +0000 2021,suraj ,Monaco  Nice ,Si son programme est bon je vais voter pour elle sinon cest toujours Mlenchon qui me convainc le plus httpstcof3jGm6hUqJ,534,1,Jean-luc M̩lenchon,0.31666666666666665
1471798847185862662,Fri Dec 17 11:06:04 +0000 2021,Toomt,,RT MarxFanAccount a parle beaucoup des fanzouzes de Mlenchon mais les fanzouzes de Taubira cest quand mme un sacr level sachant que,36,22,Jean-luc M̩lenchon,0.1
1471802203602051074,Fri Dec 17 11:19:24 +0000 2021,Romane,,RT harmonya59 Excellente analyse de Nicolas Framont sur la construction mdiatique pour faire monter Taubira son programme nolibral do,2707,6,Jean-luc M̩lenchon,0.5
1471797123532341251,Fri Dec 17 10:59:13 +0000 2021,Vilain Syndicaliste,,"a parle beaucoup des fanzouzes de Mlenchon mais les fanzouzes de Taubira cest quand mme un sacr level sachant quelle na ni programme ni militants et mme si elle a fait partie du gouvernement de Hollande

Mais ils viennent quand mme te faire chier",43007,22,Jean-luc M̩lenchon,0.1
1471796302782648329,Fri Dec 17 10:55:57 +0000 2021,Marcel Valon,,RT FrancoisCherix Quand jentends MM Mlenchon ou Zemmour salir leur pays et souhaiter son explosion je pense que des milliers dEurop,139,87,Jean-luc M̩lenchon,0.0
1471797413287505924,Fri Dec 17 11:00:22 +0000 2021,DjuDju13,,Regardsfr Inutile dattendre jusque mi janvier  elle peu dores et dj laisser tomber son ide Face aux melons aussi dmesurs que pitoyables de Melenchon Jadot et consort elle na aucune chance de rassembler quiconque,303,0,Jean-luc M̩lenchon,-0.11666666666666665
1471801934067769346,Fri Dec 17 11:18:20 +0000 2021,Le bachelier ,,Taubira risque donc dtre un Hollande et un Macron un peu plus  gauche sur le plan des symboles Pour le reste pour ceux qui veulent un changement  gauche il y a Mlenchon Lquation sera celleci  mon avis Mais attendons de connatre son programme,507,0,Jean-luc M̩lenchon,-0.184
1471799259259449344,Fri Dec 17 11:07:42 +0000 2021,JJ C,,RT FDesouche Face  Baba  Stanislas Rigault Gnration Z agress verbalement par Alexis Corbire et Raquel Garrido dans les coulisses,6810,140,Jean-luc M̩lenchon,0.0
1471796264136286209,Fri Dec 17 10:55:48 +0000 2021,MICHAUD,,RT GWGoldnadel Ou sur la radio active de sevice public aux infos de 13h  E Zemmour candidat dextrmedroite  alors que son parti,56,1350,Jean-luc M̩lenchon,0.0
1471797956256968712,Fri Dec 17 11:02:32 +0000 2021,Stphane RODETEVICH Matricule 10587 ,Paris France,Nemausus38 marxgnt RomainSpy ChTaubira En fait Mlenchon porte lavenir en commun il ne te demande pas de lpouser,961,0,Jean-luc M̩lenchon,0.08
1471795898921504772,Fri Dec 17 10:54:21 +0000 2021,Taous93,,RT DjMonkey3rd melenchon2022 ManonAubryFr abstentionniste jusqu aujourdhui je serais l pour JLM et Fi en 2022  Carte lectorale,1141,96,Jean-luc M̩lenchon,0.0
1471800688615333888,Fri Dec 17 11:13:23 +0000 2021,JeanPhilippe Dumas,North korea,PVillemerin Patriote66 stanislasrig houdersen Ctait avant a Bfm a battu le dbat sur France 2 je crois avec Melenchon Zemmour,6,0,Jean-luc M̩lenchon,-0.3
1471796327793180676,Fri Dec 17 10:56:03 +0000 2021,Lhomme ,,Franchement elle ou Melenchon  Que faire httpstcotehpL871GL,1876,0,Jean-luc M̩lenchon,0.0
1471799953697693701,Fri Dec 17 11:10:28 +0000 2021,Mamie Oltne  5 ans de plus avec Emanuel Macron,France,RT FrancoisCherix Quand jentends MM Mlenchon ou Zemmour salir leur pays et souhaiter son explosion je pense que des milliers dEurop,5888,87,Jean-luc M̩lenchon,0.0
1471797812782325766,Fri Dec 17 11:01:57 +0000 2021,Guitou 8888 Le Grand Bornand 2021 Biathlon ,GAP HAUTES ALPES ,RT FrancoisCherix Quand jentends MM Mlenchon ou Zemmour salir leur pays et souhaiter son explosion je pense que des milliers dEurop,3566,87,Jean-luc M̩lenchon,0.0
1471802023062421511,Fri Dec 17 11:18:41 +0000 2021,Philippe Bruno,,RT WeillClaude Quel naufrage  Traverser lAtlantique pour aller cautionner la culture du soupon et soutenir une fronde antivaxx qui a c,121,381,Jean-luc M̩lenchon,0.0
1471801521826418689,Fri Dec 17 11:16:42 +0000 2021,KENNY BOY DJ ,RueilMalmaison France,romainlmrc Romain lis le programme de Mlenchon stp et compare avec les autres ne perd pas ton temps avec le libralisme on a plus le temps pour a ou plutt on a qu une plante hors le capitalisme en consomme 3 en fvrier,328,1,Jean-luc M̩lenchon,0.016666666666666663
1471799557533184002,Fri Dec 17 11:08:53 +0000 2021,she534MJ Jaquier, BulletSuisse,RT FrancoisCherix Quand jentends MM Mlenchon ou Zemmour salir leur pays et souhaiter son explosion je pense que des milliers dEurop,4156,87,Jean-luc M̩lenchon,0.0
1471800968367022088,Fri Dec 17 11:14:30 +0000 2021,Half,,RT FrancoisCherix Quand jentends MM Mlenchon ou Zemmour salir leur pays et souhaiter son explosion je pense que des milliers dEurop,259,87,Jean-luc M̩lenchon,0.0
1471796063107534848,Fri Dec 17 10:55:00 +0000 2021,Sicouet Seuviciz,,FDesouche A la place de Mlenchon ou en plus ,577,0,Jean-luc M̩lenchon,0.15
1471795809268244487,Fri Dec 17 10:54:00 +0000 2021,Mlenchon 2022,," LUnionPopulaire et son candidat JLMelenchon portent le programme lAvenir en commun pour 2022  lharmonie des tres humains entre eux et avec la nature

 Pour soutenir notre campagne vous pouvez faire un don  httpstco286glEVm9F

Melenchon2022",12620,5,Jean-luc M̩lenchon,0.25666666666666665
1471800148678393862,Fri Dec 17 11:11:14 +0000 2021,Baby77,,RT GWGoldnadel Ou sur la radio active de sevice public aux infos de 13h  E Zemmour candidat dextrmedroite  alors que son parti,246,1350,Jean-luc M̩lenchon,0.0
1471799447734607873,Fri Dec 17 11:08:27 +0000 2021,Bap  Charden,Paris France,Hidalgo et Jadot ayant chou sur ce point Taubira peutelle tre une alternative crdible  lomnipotence mortifre de Mlenchon  gauche ,1550,0,Jean-luc M̩lenchon,-0.16
1471800918681214983,Fri Dec 17 11:14:18 +0000 2021,Lore Urka,,ryandestin1 LolaCoh75421343 Tsipora777 stanislasrig Djokkor Y a pas besoin de comparer a quoi que ce soit cest un carton absolu pour la chane qui navait fait mieux quavec Hunger Games Lmission sur Mlenchon navait fait que 700000 ,13,0,Jean-luc M̩lenchon,0.0
1471802447173754882,Fri Dec 17 11:20:22 +0000 2021,Micelo Taubira2022 ,Pau  Alenon ,damiencasse ChTaubira tre a moins de dix pour cent ce nest pas ce que jappellerais de bons sondages De plus une majorit de franais et de gauchistes trouvent Mlenchon incomptent si prsident mois y compris,253,0,Jean-luc M̩lenchon,0.31666666666666665
1471795918064295939,Fri Dec 17 10:54:26 +0000 2021,ReconquteArpajon,IledeFrance France,RT FDesouche Stanislas Rigault Gnration Z mouche Alexis Corbire porteparole de JeanLuc Mlenchon qui le prenait  partie   Re,756,585,Jean-luc M̩lenchon,0.0
1471801924576215044,Fri Dec 17 11:18:18 +0000 2021,Sanglier gauchiste,,Amis bourgeois pronostiquant la dfaite de la gauche si pas union nia nia  assumez simplement dtre de droite et votez contre Mlenchon Chacun se doit de voter selon ses opinion ,53,0,Jean-luc M̩lenchon,0.16
1471798652112977921,Fri Dec 17 11:05:18 +0000 2021,Jerome CHARRIER,,RT FDesouche Face  Baba  Stanislas Rigault Gnration Z agress verbalement par Alexis Corbire et Raquel Garrido dans les coulisses,111,140,Jean-luc M̩lenchon,0.0
1471798993189486595,Fri Dec 17 11:06:39 +0000 2021,vive la france2022,ValrasPlage France,RT FDesouche Face  Baba  Stanislas Rigault Gnration Z agress verbalement par Alexis Corbire et Raquel Garrido dans les coulisses,1336,140,Jean-luc M̩lenchon,0.0
1471802457248473097,Fri Dec 17 11:20:25 +0000 2021,jeune trav lotta,ellechie,ClaeyDeLesbos Esorette un megazord form de mlenchon kazib poutou etc mais personne est daccord sur quel membre il veut etre,486,0,Jean-luc M̩lenchon,0.0
1471800564539351045,Fri Dec 17 11:12:53 +0000 2021,Mcp,,"RT MekesseKiddy Patriote66 Je crois quil faut que Mlenchon les dbranche Sil ne veut pas finir comme Hidalgo
Cette histoire va lui",1113,1,Jean-luc M̩lenchon,0.0
1471802284434763777,Fri Dec 17 11:19:44 +0000 2021,RflexionsPragmatiques,,RT Nirinine Jarrive pas  croire que lallocation de 1063 pour les jeunes que propose Mlenchon fasse dbat Il ny a que les privilgi,2743,196,Jean-luc M̩lenchon,0.32
1471800867909246978,Fri Dec 17 11:14:06 +0000 2021,Dominique G   5ansdeplus,Paris France,RT FrancoisCherix Quand jentends MM Mlenchon ou Zemmour salir leur pays et souhaiter son explosion je pense que des milliers dEurop,590,87,Jean-luc M̩lenchon,0.0
1471800618121633796,Fri Dec 17 11:13:06 +0000 2021,Sign Furax,,RT GWGoldnadel Ou sur la radio active de sevice public aux infos de 13h  E Zemmour candidat dextrmedroite  alors que son parti,1379,1350,Jean-luc M̩lenchon,0.0
1471795494796111878,Fri Dec 17 10:52:45 +0000 2021,Cameroon Magazine,Cameroon,CM  En Guadeloupe JeanLuc Mlenchon fustige la patriequi httpstco6zZigSzP0C,600,0,Jean-luc M̩lenchon,0.0
1471797884706332675,Fri Dec 17 11:02:15 +0000 2021,Landry Ngang,SaintDenis France,"debosolau Mlenchon a un programme plus une quipe moi jle soutien pour son programme 
Ceux qui soutiennent Taubira la soutienne pourquoi hormis sa personne 

Elle a plein de qualits mais sa candidature  quatre mois des lections sans programme ni quipe est abuse",5935,0,Jean-luc M̩lenchon,0.21000000000000002
1471796412555960320,Fri Dec 17 10:56:24 +0000 2021,Mehdi JC MichelBelmajdoub,Maghreb et Afrique de lOuest,RT FrancoisCherix Quand jentends MM Mlenchon ou Zemmour salir leur pays et souhaiter son explosion je pense que des milliers dEurop,1049,87,Jean-luc M̩lenchon,0.0
1471795290793553927,Fri Dec 17 10:51:56 +0000 2021,michle cambie,ViolsenLaval France,RT Lenoblemarie1 Stanislas Rigault Gnration Z mouche Alexis Corbire porteparole de JLMelenchon qui le prenait  partie   Retou,1000,1,Jean-luc M̩lenchon,0.0
1471796166614466566,Fri Dec 17 10:55:25 +0000 2021,Soeurcire Clitorine,France,loulou61041147 petedeher BramsGue Mlenchon est aussi sous procdure pour injure raciste,57,0,Jean-luc M̩lenchon,0.0
1471799717847871494,Fri Dec 17 11:09:32 +0000 2021,Starnar,,Les mecs qui soutiennent la FI sont pris de se taire Taisez vous tous Mlenchon est aussi un bourgeois Vous avez pas de leons  donner Que toute les gauches institutionnelles se remettent en question ou disparaissent pour une rvolution httpstcowr4DV5ke7F,286,0,Jean-luc M̩lenchon,0.04499999999999999
1471797254713659394,Fri Dec 17 10:59:44 +0000 2021,Louisa BENZAIDlorrN,,RT Nirinine Jarrive pas  croire que lallocation de 1063 pour les jeunes que propose Mlenchon fasse dbat Il ny a que les privilgi,1993,196,Jean-luc M̩lenchon,0.32
1471796744644177926,Fri Dec 17 10:57:43 +0000 2021,Sete France MELENCHON 2022 BDS,,"RT AmarilloLeones Taubira

Voici le scnario imagin par cette troupe de dingues 
1 Propulsion de la PrimairePopulaire 
2 Taubira",1129,3,Jean-luc M̩lenchon,-0.2
1471802947344474116,Fri Dec 17 11:22:22 +0000 2021,OrsiniAntoine0152,VAPE LIB TABAC depuis 10 ANS ,"RT LeSoigneurX ChTaubira Beau discours Je vous conseille de rejoindre Melenchon

Vos valeurs sont diffrentes de celles du PS",1254,1,Jean-luc M̩lenchon,0.8
1471800054105186313,Fri Dec 17 11:10:52 +0000 2021,Alain Escudier,,ChamboncelLea Jsuis mme pas sur quen unissant Mlenchon,66,0,Jean-luc M̩lenchon,0.0
1471798426836910082,Fri Dec 17 11:04:24 +0000 2021,Paul Gomila FBPE mediaspyromanes,,JukichOltene Si on avait besoin dune preuve supplmentaire pour rejeter LES extrmes voil on laNi Zemmour ni LePen ni Melenchon,4117,1,Jean-luc M̩lenchon,0.1
1471800181511360513,Fri Dec 17 11:11:22 +0000 2021, TOUNES FEL FINALE ,,LaKndance elle met une vitesse a melenchon soyons clairs,1036,0,Jean-luc M̩lenchon,0.28
1471795309114281987,Fri Dec 17 10:52:00 +0000 2021,Ch Sou,,sasacissen ChTaubira Javais pas compris cest exactement a Le PS succursale de Macron veut vraiment faire plier Melenchon,128,0,Jean-luc M̩lenchon,0.0
1471803054345306112,Fri Dec 17 11:22:47 +0000 2021,Marie Imamou,Paris  France,RT FrancoisCherix Quand jentends MM Mlenchon ou Zemmour salir leur pays et souhaiter son explosion je pense que des milliers dEurop,901,87,Jean-luc M̩lenchon,0.0
1471797553930854407,Fri Dec 17 11:00:56 +0000 2021,Edmasc,SaintPalaissurMer France,morandiniblog Cest qui la poissonnire Avezvous du nouveau sur laffaire judiciaire en cours de Mlenchon Pas de nouvelles Pour Fillon a va plus vite non,10,0,Jean-luc M̩lenchon,0.14500000000000002
1471796709185437701,Fri Dec 17 10:57:34 +0000 2021,Guy Fawkes News,,AristarqueDe YoussefHindi ZemmourEric MLPofficiel Mlenchon ne fera jamais un second tour Il ne fera mme pas 10 je parie Mon pronostic tel que cest parti ce sera un second tour MacronPcresse Autant choisir entre la peste et le cholra,5071,0,Jean-luc M̩lenchon,-0.03333333333333333
1471799832247476227,Fri Dec 17 11:09:59 +0000 2021,Villepontoux philippe,Aquitaine France,RT FrancoisCherix Quand jentends MM Mlenchon ou Zemmour salir leur pays et souhaiter son explosion je pense que des milliers dEurop,133,87,Jean-luc M̩lenchon,0.0
1471802093056847874,Fri Dec 17 11:18:58 +0000 2021,Daiko94,,MFerandou Aucun des deux NI MACRON ni melenchon,20,0,Jean-luc M̩lenchon,0.0
1471798106245238788,Fri Dec 17 11:03:07 +0000 2021,Achille ,Lorraine France,RT MarxFanAccount a parle beaucoup des fanzouzes de Mlenchon mais les fanzouzes de Taubira cest quand mme un sacr level sachant que,255,22,Jean-luc M̩lenchon,0.1
1471797496682745860,Fri Dec 17 11:00:42 +0000 2021,Childebrand,,RT TPMP Je me qualifie comme un Gaulliste Bonapartiste,120,102,Jean-luc M̩lenchon,0.0
1471801287113068551,Fri Dec 17 11:15:46 +0000 2021,tom,Bruxelles Belgique,"Jai vraiment du mal  comprendre la logique l en fait
Mlenchon est le candidat de gauche qui est systmatiquement le plus haut dans les sondages pourquoi ne pas faire lunion avec lui plutt que de constamment essayer de lcarter en faisant lunion avec quelquun dautre httpstcopoYCtb7aCF",1085,0,Jean-luc M̩lenchon,-0.20650000000000002
